burnham park|-74.4966539 40.798698
brisbane|-73.861407 40.7369661
melbourne|-73.8605076 40.7372324
wellington|-73.8607521 40.7377263
kyoto|-73.8608215 40.735805
singapore|-73.8610611 40.7362964
bali|-73.8601647 40.7365641
mandalay|-73.8599026 40.7360799
colombia|-73.8616516 40.7355583
peru|-73.8619107 40.7360456
argentina|-73.8625678 40.7352846
brazil|-73.8628083 40.7357766
usps|-73.864478 40.7352332
rome|-73.8642378 40.7366837
london|-73.8651546 40.7364115
paris|-73.8648953 40.7359253
copenhagen|-73.8639953 40.7361927
canada|-73.8634131 40.7369306
mexico|-73.8631528 40.7364468
panama|-73.8622546 40.7367119
united states|-73.8624941 40.7372029
athens|-73.8659385 40.7362482
the summit|-73.8613179 40.7330194
the bucknell|-73.8588281 40.7370095
jefferson|-73.8594892 40.7383462
franklin|-73.8569945 40.7372185
eleven|-73.8573186 40.7366629
dartmouth|-73.8580179 40.7372706
kansas|-73.8593328 40.7380376
ivy|-73.8581644 40.737611
the carleton|-73.8586704 40.7366958
exeter|-73.8578587 40.7369609
harvard|-73.858993 40.7373642
georgetown|-73.8591528 40.7376829
high school of arts  business|-73.8534592 40.7376577
calloway chateau|-73.8563174 40.7376169
fdny e|-73.851768 40.7379646
montclair gardens|-73.8907149 40.7498777
colonial court|-73.8902773 40.7499267
jackson surrey|-73.8915721 40.7506099
bruson building|-73.8913228 40.7492407
jackson condominium|-73.8883775 40.749922
jackson house|-73.8888233 40.7498742
the warwick|-73.889755 40.7510371
jefferson hall|-73.8878916 40.7512003
monroe house|-73.8871193 40.7508324
the finchley|-73.8857046 40.7508939
hampshire house|-73.8870069 40.7502239
brentwood hall|-73.8855904 40.7502862
the litchfield|-73.8823423 40.7507517
the belvedere|-73.8823104 40.7517908
the madison|-73.8793424 40.7521083
livingston apartments|-73.8803833 40.7503965
the griswold|-73.8808034 40.753902
the lincoln|-73.8795906 40.7525852
the jacksonian|-73.8797148 40.7520683
chatham apartments|-73.8798459 40.7539677
the queen victoria|-73.8804345 40.7519508
jackson manor|-73.8770836 40.7543041
south view apartments|-73.8768218 40.7528484
dorset apartments|-73.8789329 40.7540621
queen anne apartments|-73.8786922 40.7527036
whitehall court|-73.8780137 40.7541899
queen mary apartments|-73.8785893 40.7521426
adelphi hall|-73.8776649 40.7522688
bradford house|-73.8801595 40.7494042
sussex house|-73.8791535 40.750046
the monteray|-73.8834961 40.748809
mnj enterprises|-73.8837431 40.7482338
catherine sheridan senior center|-73.8838401 40.7510239
stephen hall apartments|-73.8847168 40.7505282
the alden|-73.8837934 40.7506943
the greenbrier|-73.8832358 40.7504717
the wakefield|-73.8851374 40.7505156
jackson heights branch queens library|-73.8850686 40.7502016
west gate|-73.8841546 40.7503001
east gate|-73.8837304 40.7503474
jackson heights united methodist church|-73.8851038 40.7515166
saint joan of arc roman catholic church|-73.883949 40.7514679
saint joan of arc school|-73.8843674 40.7512747
maple court|-73.8852204 40.7509751
georgian hall|-73.8829668 40.7501576
ward meehan hall|-73.884186 40.7509176
allendale apartments|-73.8851434 40.7529294
mount vernon apartments|-73.885532 40.7527053
the delano|-73.8850537 40.752393
penrhyn court|-73.8851756 40.7534386
stratford hall|-73.8861195 40.7518921
oban court|-73.8853615 40.7534284
lawrence house|-73.8856423 40.7533094
the woodstock|-73.8852676 40.7520488
arlington hall|-73.8872468 40.7517505
the elbertson|-73.8868584 40.7517953
intermediate school  joseph pulitzer|-73.8874239 40.7542624
salem house|-73.8883419 40.7536584
terrace view|-73.8872807 40.7530554
rainbowland nursery school|-73.8897577 40.754622
the colton|-73.8898428 40.7515288
the manchester|-73.8889203 40.7516348
brewster house|-73.8891687 40.7530209
versailles gardens|-73.8900842 40.7528411
buckingham hall|-73.8917004 40.7513041
fairway hall|-73.8901972 40.7534633
beech court|-73.8907663 40.7513874
new york community bank|-73.8904199 40.7547844
dunkin|-73.8959059 40.7541247
bqe billiards and bar|-73.8958282 40.752165
regal heights rehabilitation and healthcare center|-73.8954359 40.7509479
the windsor|-73.8939144 40.7530747
concord apartments|-73.8931896 40.7531537
bowlero|-73.896579 40.7520851
jax inn diner|-73.8939505 40.7544128
the martha washington|-73.8926109 40.7522151
miriam court|-73.8933666 40.7511305
floridian court|-73.8928328 40.7511803
crestwood|-73.8925603 40.749661
the barcelona|-73.8920652 40.7491581
is|-73.8928691 40.7526267
washington plaza|-73.8924923 40.7504543
the fleetwood|-73.8924223 40.7512232
mita jewelers|-73.8919263 40.7480378
patel brothers|-73.8913941 40.7480935
jackson diner|-73.8913259 40.7477459
the jacksonian apartments|-73.8853951 40.7490332
old navy|-73.8843402 40.7483098
the eldorado|-73.885781 40.7489361
terraza  jazz music club|-73.881996 40.7475171
popular|-73.8823472 40.7474297
roosevelt shopping center|-73.8818282 40.7476002
santander|-73.8821194 40.7476345
public school|-73.879599 40.7459544
fillmore gardens|-73.876915 40.752341
clearview apartments|-73.8747901 40.7509809
polk garden apartments|-73.8766282 40.7507789
belevder apartments|-73.8765695 40.7503279
the briarley|-73.8752651 40.7557047
the briarley|-73.8756129 40.7556678
the ardmoor|-73.8753633 40.7562128
the coverley|-73.8751655 40.7551578
the coverley|-73.8755133 40.7551209
the ardmoor|-73.8757116 40.756179
public school|-73.8786955 40.7579709
new york city police department   th precinct|-73.8755328 40.7568438
gorman playground comfort station|-73.8841561 40.7619309
walgreens|-73.8885232 40.7555114
td bank|-73.896285 40.7546661
burger king|-73.8978363 40.7545334
ihop|-73.8936177 40.7549764
immanuel baptist church|-73.8985568 40.757694
cvs pharmacy|-73.894443 40.7549351
chase|-73.8904709 40.7589985
blessed sacrament church|-73.8742596 40.7532648
ps q|-73.8738782 40.7535188
the kent|-73.8734835 40.7558694
the jackson|-73.8737612 40.7563796
the lawrence|-73.873284 40.7553478
the lawrence|-73.8736336 40.7553119
samson towers|-73.8759687 40.7544373
the raleigh|-73.8749801 40.7530467
ford apartments|-73.8750445 40.754479
heightsview apartments|-73.8763438 40.754372
christ the king regional high school|-73.8884636 40.710738
metro plaza condo|-73.8808649 40.7129422
public school|-73.8754857 40.7196477
community united methodist church|-73.8763255 40.7132695
c town|-73.8760665 40.7133029
wyckoff health center|-73.8756892 40.7129403
saints michael and gabriel orthodox church|-73.8763424 40.7117466
saint paul the apostle senior apartments|-73.8609889 40.7392274
princeton|-73.8605501 40.7386463
meadow lake boathouse|-73.8384563 40.7358373
veterans of foreign wars|-73.8294731 40.7423825
gufa shiv bhagat  baba balak nath temple|-73.8055519 40.7067038
ideal food basket|-73.8073937 40.7060565
winners church|-73.7434201 40.6768098
luv n oven pizza|-73.9775608 40.689675
the rockwell place|-73.9791338 40.6890396
mark morris dance center|-73.9789016 40.6870244
theater for a new audience|-73.9788751 40.6872641
pioneer building|-73.9794922 40.6875354
arts media house|-73.9790874 40.6886961
acres and a mule filmworks|-73.9753597 40.6875383
fresh pond bus maintenance facility|-73.8953695 40.7068107
metro mall|-73.8916428 40.7114526
nypd  pct|-73.8936099 40.7042693
stop  shop|-73.8909214 40.7018411
bam fischer|-73.9778037 40.6860239
bam peter jay sharp building|-73.9776978 40.6864655
hanson place central united methodist church|-73.9773637 40.6855001
second district dental society|-73.9761464 40.6864524
brooklyn music school|-73.9773744 40.6860686
black forest brooklyn|-73.9750989 40.6867772
williamsburgh savings bank tower|-73.9777165 40.6855085
brooklyn medical plaza|-73.976179 40.686748
lighthouse assembly of god church|-73.8839848 40.7030853
public school|-73.8840501 40.7035341
hanson place seventh day adventist church|-73.9739606 40.6852326
oxford nursing home|-73.9734763 40.6849374
atlantic center|-73.9752665 40.6842043
albanian american islamic center of queens|-73.8772918 40.7020263
public school|-73.8749486 40.7049829
glendale diner|-73.8796308 40.7018597
fdny engine  ladder|-73.886651 40.7012333
cvs pharmacy|-73.8844277 40.7014183
saint pancras church|-73.8841911 40.7007838
mcdonalds|-73.8802952 40.7017238
fdny engine  ladder|-73.973871 40.6812014
temple of restoration|-73.9731145 40.6815311
nypd th precinct|-73.9741537 40.6808953
newswalk|-73.9722062 40.6816246
sacred heart church|-73.8656019 40.7059022
sacred heart school|-73.8648278 40.7060175
church of god victory|-73.9691471 40.6789502
latin evangelical free church|-73.9738577 40.6803547
nyc department of housing preservation  development|-73.9734015 40.680216
radix media|-73.9731099 40.6802492
mayflower sales|-73.9695674 40.6793861
public school|-73.9350955 40.6756896
public school|-73.9374324 40.672239
lot b beach concession complex|-73.9780243 40.4069091
lot a|-73.9771784 40.4011579
lot d|-73.9841764 40.4245955
lot e complex concession|-73.9845341 40.4294845
lot e|-73.984333 40.4282114
ranger station|-73.986909 40.4300563
kookabura|-73.6477246 40.6588127
bp|-73.9444882 40.678427
veterans memorial park|-73.9826731 40.3989717
shaare zion|-73.7338493 40.7963011
great neck south middle school|-73.7031275 40.7645501
seastreak highlands commuter parking|-73.9970109 40.407636
anthony chiarantano park|-73.9331764 40.6355617
lander college for men|-73.8143485 40.7242968
ocean hill playground|-73.9121777 40.6744254
school of the little flower|-73.9344125 40.6414188
public school|-73.9370817 40.6376071
chase|-73.7267691 40.7884059
grace avenue park|-73.7258438 40.7893527
vigilant fire company|-73.7324705 40.784577
cutter mill park|-73.7312744 40.7817229
straus square|-73.9899432 40.7142227
the ansonia|-73.9822043 40.7801506
cypress hills playground|-73.8716667 40.6704474
israel putnam playground|-73.9396396 40.6863586
hattie carthan playground|-73.9461053 40.6856202
west park|-73.9779366 40.3655956
myrtle village green|-73.9585849 40.693916
rockaway freeway dog park|-73.8087645 40.5911883
court|-73.8470669 40.748045
court|-73.8467673 40.7481444
court|-73.8464705 40.7482461
court|-73.8472278 40.7485749
court|-73.8477096 40.7489562
court|-73.8480446 40.7488433
practice courts|-73.8482229 40.7492729
soccer field|-73.8400393 40.7473721
fountain of the planets|-73.8381946 40.7487189
fountain of the grapes of wrath|-73.8505282 40.746667
fountain of the planet of the apes|-73.8485927 40.743162
bull moose dog run|-73.9739024 40.7821868
king kullen|-73.6547265 40.597462
best western|-73.6485629 40.6578704
cvs pharmacy|-73.6497656 40.6577401
king kullen|-73.6512152 40.6577635
ancient playground|-73.9617049 40.7808059
beattie triangle|-73.9345678 40.6964296
john the baptist community center inc|-73.935053 40.6963793
penn south playground|-73.9990456 40.7467523
the eagle|-73.9821465 40.693239
brooklyn bears rockwell place garden|-73.9792596 40.6869459
greeley square park|-73.9883027 40.7486857
twentyfour sycamores park|-73.9586677 40.7594475
lexington avenue|-73.971429 40.7582981
penn south playground|-73.998692 40.7475803
catherine turner richardson park|-73.747175 40.7682272
platinum|-73.9874326 40.7598613
tkts|-73.984936 40.7591526
eighth avenue|-73.987488 40.7610239
nypd times square substation|-73.9863795 40.7565136
us armed forces recruiting station|-73.986219 40.7568207
third avenue|-73.9695729 40.7580194
saint peters lutheran church|-73.9703044 40.7586702
lincoln road playground|-73.963471 40.6608818
kcc urban farm|-73.9336709 40.5798767
rockefeller plaza|-73.9777065 40.7600534
cbs building|-73.9787824 40.7612525
seventh avenue|-73.9825481 40.7628858
seventh avenue|-73.9808495 40.7653458
broadway|-73.9827267 40.7643928
west th street|-73.9835047 40.7648965
fisk building|-73.982535 40.7662821
symphony house|-73.9824867 40.7659481
sperry  hutchinson building|-73.9793999 40.7533277
emigrant savings bank building|-73.9798052 40.7534813
fifth avenue|-73.9803475 40.7535656
hyatt centric times square|-73.9840243 40.7575691
madison avenue|-73.9735088 40.7614752
finland house|-73.9737721 40.760939
madison|-73.9747217 40.7596926
mgm building|-73.9777615 40.762544
east th street|-73.9693876 40.7614249
one|-73.979036 40.765516
manton playground|-73.8211996 40.7114869
the metropolis|-73.9742415 40.7521095
lexington|-73.9749608 40.7522693
third avenue|-73.9714407 40.7542517
one united nations plaza|-73.9692028 40.7504967
two united nations plaza|-73.9696308 40.7508486
the us mission to the united nations|-73.9689596 40.7506976
uganda house|-73.9692245 40.7508217
laguardia community college parking lot|-73.9388803 40.7441923
park avenue|-73.9718505 40.7616958
west|-73.9781529 40.7617869
west th street|-73.9775547 40.7647969
central park tower|-73.9810038 40.7664183
sutter avenue ballfield|-73.887573 40.6711673
city line park|-73.8756138 40.6796308
public school|-73.876086 40.6658175
doctor martin luther king junior park|-73.8904325 40.66769
marconi park|-73.7955139 40.6935806
latimer playground|-73.7862262 40.6965177
norelli hargreaves memorial triangle|-73.8053688 40.6956835
captain tilly park|-73.7987911 40.7121655
major mark park|-73.7885212 40.7116714
harvard playground|-73.7815459 40.7091177
peters field|-73.7748334 40.7060049
howard von dohlen playground|-73.8129861 40.6994516
coliseum park apartments north|-73.9839525 40.7692992
coliseum park apartments south|-73.9844202 40.7686514
coliseum park|-73.9841127 40.7689446
west nd street|-73.9938962 40.7585356
macdonald park|-73.8468322 40.7222485
fagan square|-73.9124062 40.7560168
ps    henry david thoreau school|-73.9226935 40.7681366
ps|-73.9230539 40.7668867
is q albert shanker school for visual  performing arts|-73.9299856 40.7660112
paley park|-73.9750748 40.7603438
edison parkfast|-73.990538 40.6909386
ps  jacqueline kennedy onassis|-73.846156 40.6979334
student lot|-73.6753443 40.6864835
teacher lot|-73.6737366 40.6878166
platinum car wash|-73.9877235 40.6593636
edison parkfast|-73.9867796 40.6890075
desilva memorial field|-73.7967737 40.722792
redstorm field|-73.7976793 40.7186223
the ballpark at saint johns|-73.7915543 40.7236405
the colony|-73.9703224 40.6763426
north star academy ms|-73.9697883 40.6762649
public school|-73.9689838 40.6760364
kith|-73.97501 40.6811987
ctown supermarkets|-73.8666496 40.6916508
epworth united methodist church|-73.8616676 40.6888038
public school|-73.8528436 40.6914548
crispus attucks playground|-73.9591915 40.681584
woodhaven branch queens borough public library|-73.8614405 40.6945452
public school|-73.8600088 40.6942754
bais shlomo zalman|-73.9806216 40.7167631
ctown supermarkets|-73.8473739 40.6946155
hamilton fish recreation center|-73.9814572 40.7199807
grand street settlement|-73.9817187 40.7183083
church of the epiphany|-73.9529921 40.7684879
fdny engine  ladder|-73.8462381 40.6948285
coppelia|-73.9999688 40.7389331
flannerys bar|-73.9998629 40.7389418
walker tower|-73.9987291 40.7410363
french evangelical church|-73.9972711 40.7390318
irt substation|-73.9981313 40.7393796
xavier high school|-73.9948596 40.7379565
church of saint francis xavier|-73.9952776 40.7380498
judge building|-73.9933144 40.7370572
petite abeille|-73.994496 40.7386662
the eco laundry company|-73.9998356 40.7420761
wisefish poke|-73.9996777 40.7427967
fdny engine  ladder  battalion|-73.9968771 40.7411698
west th street|-73.9973319 40.7412393
the flynn|-73.9967325 40.7408122
spero building|-73.9917674 40.7410199
church of the holy communion|-73.9936962 40.7410288
the caroline|-73.9925145 40.742332
womens liberation center|-73.998724 40.7431514
hampton|-73.9930941 40.7436362
st vincent de paul church|-73.9935818 40.7436016
cinépolis chelsea|-73.998078 40.7446536
muhlenberg library|-73.9959598 40.7445117
whole foods market|-73.9954887 40.7453062
alumni hall|-73.994673 40.7466234
nagler hall|-73.9949163 40.7468526
chelsea television studios|-73.9951853 40.7466398
coed hall|-73.9953653 40.7470211
citytouch licensed massage therapy|-73.9959203 40.7472603
shirley goodman resource center|-73.9943757 40.7464806
marvin feldman center|-73.9946854 40.7472884
fred p pomerantz art  design center|-73.9940182 40.7471466
david dubinsky student center|-73.9959149 40.747954
the broadmore|-73.9991316 40.7458189
st pauls church|-73.9996373 40.745158
leo house|-73.9999208 40.7455873
sva theater|-73.9998483 40.7461269
hudson yards|-74.0005856 40.7539514
manor community church|-73.9991314 40.7478052
public school|-74.0002017 40.7489871
james a farley building|-73.9958896 40.7515342
new york city health department|-73.9998326 40.7495765
penn south building|-73.9968922 40.7481982
penn south housing|-73.9995897 40.7468536
penn south housing|-73.9986734 40.7464707
penn south building|-73.9963522 40.7489408
church of the holy apostles|-73.9987926 40.7492415
the irvin|-73.9961144 40.7497906
midtown west hotel|-73.9956503 40.7499506
church of st john the baptist|-73.9928397 40.7489878
holiday inn express new york city  chelsea|-73.9946168 40.7483402
the joseph p cuomo building|-73.9944312 40.7495144
hampton|-73.9901898 40.7480443
hilton garden inn|-73.9914043 40.7466597
hotel indigo|-73.9917107 40.7468125
courtyard marriot|-73.9911908 40.7482236
saint francis house|-73.9904571 40.7486581
manheimer building|-73.991958 40.7486642
nuchas|-73.9883381 40.7484848
manhattan mall|-73.9892799 40.7491509
hotel pennsylvania|-73.9905249 40.749675
church of saint francis of assisi|-73.9905588 40.7488441
the epic|-73.9901004 40.7487645
saint francis of assisi school|-73.9908279 40.7487929
doubletree|-73.9914089 40.7469639
greeley square building|-73.9893418 40.7482093
tower|-73.9893203 40.7484355
fdny engine  ladder|-73.9911335 40.7485004
stewart hotel|-73.9916599 40.7487029
kissena park|-73.8081183 40.7458437
fifteenth street meeting house|-73.985197 40.7338202
friends seminary|-73.9852995 40.7340277
hotel|-73.9845485 40.734912
st georges church|-73.984993 40.7343617
park towers apartments|-73.98521 40.7353716
washington irving high school|-73.9870851 40.7353192
washington irving house|-73.9863292 40.7350303
rutherford place|-73.9836594 40.7347478
st john the baptist|-73.9861696 40.7355957
the brotherhood synagogue|-73.9853823 40.7370469
namu deli  grocery|-73.9845505 40.737397
fancy cleaners  tailors|-73.9845102 40.7374524
new york city police department|-73.9832831 40.7367656
gramercy park towers|-73.9847953 40.7359295
junior high school|-73.980633 40.7357253
calvary church|-73.986763 40.7389327
gramercy theatre|-73.9849187 40.7399059
gramercy park hotel|-73.985775 40.7385503
administrative building|-73.9848361 40.7388857
newman hall|-73.9845203 40.7387522
gustavus adolphus church|-73.9840359 40.7385719
lawrence and eris field building|-73.9845039 40.7390695
epiphany library|-73.9820528 40.7380789
the firefighter dan defranci building|-73.9827436 40.7383473
the ephiphany school|-73.9820812 40.73733
gramercy court|-73.9820262 40.7368606
quaker ridge|-73.9835686 40.7376872
church of the epiphany|-73.9820046 40.7371016
gramercy east|-73.9808148 40.7372139
gramercy medical arts building|-73.9810458 40.7368375
chrystal house|-73.9825114 40.7391131
baruch college newman vertical campus|-73.9833843 40.7401876
nyu gramercy green|-73.9831804 40.7392869
manhattan promenade|-73.9823153 40.7404879
lex hotel nyc|-73.9834069 40.7409584
madison square station new york post office|-73.983584 40.7395475
baruch college information and technology building|-73.9827747 40.740751
penny lane|-73.981726 40.7393046
the rockfield|-73.9812098 40.7391012
tracy towers|-73.9805799 40.7388687
nyu college of dentistry|-73.9783972 40.7379594
phipps plaza south|-73.9785923 40.7391924
renwick gardens|-73.9769555 40.7408986
st illuminator|-73.9801254 40.7410848
first christian church of the valley|-73.9798565 40.7404559
victoria house|-73.9809309 40.7409348
the gannon funeral home|-73.9815603 40.7420427
vu|-73.9818192 40.741239
saint stephens church|-73.9812525 40.7425881
hillrose|-73.9811307 40.7422167
habitat|-73.9808663 40.7425163
flatiron building|-73.9896529 40.7410023
one madison|-73.988101 40.7405157
east nd street|-73.9872945 40.7399662
metropolitan life north building|-73.9864871 40.7415114
the stanford|-73.9861208 40.7419928
th regiment armory|-73.9842223 40.7413565
madison green residential plaza|-73.988875 40.7408808
the neue house|-73.9849343 40.7410156
right triangle public restrooms|-73.9592859 40.7356367
mary ds senior housing garden|-73.9567885 40.7352954
big screen plaza|-73.990404 40.747173
courtyard by marriott|-73.9986508 40.7546898
chelsea landmark|-73.9912213 40.7443419
shake shack|-73.9881733 40.7415111
the vanguard chelsea|-73.9917421 40.7436937
m  n smoke  grocery|-73.9827228 40.7428797
first moravian church|-73.9819033 40.7438539
rose hill|-73.9847199 40.7441552
permanent mission of the republic of moldova to the united nations|-73.9843642 40.7444421
the redbury new york|-73.9844486 40.7447023
the ascot|-73.9836462 40.7434056
on|-73.9852643 40.7450746
the centurian building|-73.9884033 40.7454771
hotel chandler|-73.9852044 40.7459717
church of the transfiguration|-73.9858175 40.74516
instrata nomad|-73.9861388 40.7447533
the noma|-73.9893785 40.7469903
holland building|-73.9869343 40.7458938
gilsey house|-73.9881373 40.7460782
gainsborough studios|-73.9804772 40.7671768
st thomas choir school|-73.9802745 40.766254
fdny engine|-73.9803087 40.7667707
southmoor house|-73.9806634 40.7672772
osborne apartment house|-73.9802826 40.7659061
hand ball|-73.8353503 40.709764
hampshire house|-73.9779451 40.7660516
park lane hotel|-73.9753444 40.7648318
park south dentistry|-73.9751093 40.7649379
the ritz carlton|-73.9760372 40.7652354
trump parc condominium|-73.9768805 40.7654293
trump parc east|-73.9766566 40.7655452
new york athletic club|-73.9789985 40.7663779
jw marriott essex house|-73.9785111 40.7661723
calvary baptist church|-73.9783688 40.7651174
paris theatre|-73.9743166 40.763736
aka central park|-73.9756741 40.7643107
alwyn court|-73.9793473 40.7658754
w|-73.9763039 40.7645059
hotel central park|-73.9765071 40.7647092
carnegie hall|-73.9799197 40.7650035
carnegie hall tower|-73.9796062 40.7648568
west th street|-73.977933 40.7643728
thompson central park new york|-73.9784624 40.7642865
metropolitan tower|-73.9792383 40.7647999
corning glass works building|-73.9740324 40.7617862
fifth avenue presbyterian church|-73.9752341 40.7620541
consulate general argentina|-73.9755336 40.7625217
rockefeller apartments|-73.976639 40.7617844
the centurion|-73.9761366 40.763251
lehman art house|-73.9760638 40.7615737
squibb building|-73.9763349 40.7635582
the peninsula new york|-73.9754047 40.7616311
warwick hotel|-73.9780969 40.7624558
hemisphere house|-73.9771382 40.7638275
the crown building|-73.974743 40.7628536
burlington house|-73.9790535 40.7629997
new york city center|-73.9793989 40.7639324
cityspire center|-73.979759 40.7642378
le premier|-73.9785742 40.7637749
conrad new york midtown|-73.9804706 40.7634652
avenue of the americas plaza|-73.9789453 40.7637509
carnegie plaza|-73.980322 40.7645554
da vinci hotel|-73.9830013 40.7656371
wendys|-73.9833081 40.7655716
park central hotel|-73.9811911 40.7647159
broadway|-73.9816815 40.7649413
mcdonalds|-73.9831258 40.7658077
pembroke|-73.9860717 40.7665766
hearst tower|-73.9836231 40.7665639
st george greek orthodox church|-73.9847302 40.7652338
fifty third and eighth|-73.9848626 40.7646295
nyct rail control center|-73.9860936 40.7651656
westerly|-73.984361 40.7652039
central park place|-73.9830116 40.7670981
the colonnade|-73.9845751 40.7679706
the westmore|-73.9843926 40.7676409
columbus|-73.983194 40.7674828
hudson hotel|-73.9849791 40.7680666
days inn|-73.9338645 40.7450373
fairfield inn long island city manhattan view|-73.9367326 40.7362262
storage post|-73.9384563 40.7371663
saint raphaels roman catholic church|-73.929703 40.7371707
public storage|-73.9350169 40.7389154
b building|-73.9369205 40.7445663
e building|-73.934286 40.7438511
holiday inn express|-73.9363742 40.7369763
access self storage|-73.9409156 40.7376397
the bindery building   alexandria center|-73.9376393 40.7409714
fdny fleet maintenance|-73.9313403 40.7392227
hub lic|-73.930927 40.7413369
spaces lic|-73.9355149 40.7420794
city view inn|-73.9342127 40.7361669
city ice pavilion|-73.9337093 40.7414851
the factory|-73.9364485 40.7421834
nypd barriers section|-73.9379129 40.7396193
newtown substation|-73.9315486 40.7429849
west side jewish center|-73.9951878 40.7532149
st michaels church|-73.9973561 40.7533502
master printers building|-73.9990093 40.7540598
the new yorker|-73.9936681 40.7527452
the olivia|-73.9946412 40.7522542
universal building|-73.9867005 40.7474367
the hotel  th avenue|-73.9865032 40.7478241
life hotel|-73.9869972 40.74722
sbarro|-73.9863492 40.7488872
aerosoles|-73.9868094 40.7490777
solari|-73.9871394 40.7484045
hotel wolcott|-73.9867054 40.7466211
american eagle recruiting office|-73.9870076 40.7491577
active staffing services|-73.9869755 40.7488195
hotel stanford|-73.9874643 40.7482334
active staffing services|-73.9871073 40.7488747
hoops cabaret and sports bar|-73.9873311 40.7484853
ricks cabaret|-73.987428 40.7485262
nyma|-73.9863452 40.747266
herald towers|-73.9875338 40.7492425
murray hill substation|-73.987421 40.7467847
hyatt herald square new york|-73.9876774 40.746989
martinique new york on broadway curio collection by hilton|-73.9877185 40.7484336
the marmara park avenue|-73.9816236 40.7452722
the mason|-73.9838455 40.7461317
hotel|-73.9834291 40.7460381
hgu|-73.9833171 40.7459972
hotel  north tower|-73.9830514 40.7463589
raymond r orbett building|-73.9826422 40.7447384
hotel aka|-73.9841932 40.745577
dover street market|-73.9817164 40.744106
park avenue|-73.9825933 40.7463335
building   park avenue south|-73.9826943 40.7457174
murray hill marquis|-73.979339 40.7459048
armenian evangelical church|-73.9790598 40.7458108
perlmutter cancer center|-73.9788251 40.7457106
mcdonalds|-73.9790819 40.74497
milton glaser inc|-73.978377 40.744397
the anthem|-73.9770012 40.7449424
crowne plaza|-73.9937463 40.7537386
even hotel new york   times square south|-73.9938705 40.7534829
barbour hotel|-73.993927 40.7538294
staypineapple|-73.9939261 40.7543136
fairfield inn  suites|-73.9942069 40.7539336
townsend|-73.9943854 40.7548169
national comedy theater|-73.9943358 40.7544868
the hartford|-73.9945106 40.7540784
quality inn|-73.9973553 40.7552699
metropolitan community church|-73.997519 40.7553335
break bar|-73.9953345 40.7542926
h yard gourmet deli|-73.9955269 40.7540643
t mobile|-73.9928052 40.753739
collectors club|-73.9820763 40.7480185
brookdale hall|-73.9823857 40.7472673
duane reade|-73.993486 40.7517409
henn na hotel|-73.991201 40.7523859
mcdonalds|-73.9928387 40.7524797
nelson tower|-73.9907494 40.7514595
local|-73.9934391 40.7515025
lucys cantina royale|-73.9931944 40.7518256
fdny engine|-73.9903494 40.7531327
fdny engine  ladder|-73.996508 40.756538
farida|-73.9942678 40.7556154
hudson|-73.9989806 40.7565107
sir stage|-73.9987709 40.7566644
courtyard|-73.9925611 40.7544907
west th street|-73.998166 40.7570984
doxie hotel|-73.9910771 40.7547092
artel hotel|-73.9915689 40.7557158
element|-73.9917877 40.7558369
finck building|-73.9924595 40.7556209
la quinta inn  suites|-73.993029 40.7555504
staybridge suites|-73.9927065 40.7565335
distrikt hotel|-73.9928689 40.7565937
doubletree by hilton hotel new york times square west|-73.9930743 40.7566888
oregon|-73.9939469 40.7560557
maine|-73.9939274 40.7561247
hells kitchen deli|-73.9939636 40.7570654
better being|-73.9939287 40.7571137
hampton|-73.9928469 40.7562523
holiday inn express|-73.9930889 40.7563538
candlewood suites|-73.9929719 40.7563047
navarre building|-73.9892748 40.7534417
crystal green|-73.9928954 40.7558038
holiday inn|-73.9917884 40.7552879
church of sts cyril  methodius and st raphael|-73.9967664 40.7590076
manhattan south task force|-73.9967603 40.7598822
victory apartments|-73.9962474 40.75931
cuny graduate school and university center|-73.9836394 40.7485188
haier building|-73.9871395 40.7514601
the atlas|-73.985691 40.7519613
ml house|-73.9849223 40.7531588
worlds tower building|-73.9859672 40.7537049
church of the holy innocents|-73.9881088 40.7521591
salt  pepper restaurant|-73.9899996 40.7500786
jet partners|-73.9890929 40.7514379
the columns|-73.9834164 40.7522974
crocs|-73.9901479 40.7504807
fairfield inn|-73.9845815 40.7511399
hotel hendricks|-73.9840813 40.7517804
springhill suites|-73.9846865 40.7511798
marriott vacation club new york city|-73.9848251 40.7512731
the gregory hotel|-73.98609 40.7497095
mcdonalds|-73.9905844 40.7504787
the kixby|-73.9859565 40.7501316
konnect agency|-73.9842274 40.7529747
hampton|-73.9863514 40.7503425
embassy suites by hilton|-73.9859069 40.7512173
hilton garden inn|-73.9865476 40.7504236
old navy|-73.9901244 40.7502793
bush tower|-73.985622 40.7549648
bricken textile building|-73.9871678 40.7549889
macys|-73.9891221 40.7508213
kratter building|-73.989003 40.7498098
broadway|-73.9877802 40.7535449
new york public library|-73.9822362 40.753215
million dollar corner|-73.9881448 40.7501462
herald square shopping court|-73.9867445 40.7516763
millinery building|-73.9850431 40.7529922
sixth avenue|-73.9850878 40.7541302
five bryant park|-73.9853857 40.7540328
primexchange|-73.9860493 40.7517398
sixth avenue|-73.9865714 40.7520235
archer hotel|-73.9846972 40.7520396
springs building|-73.9859258 40.7534213
the knickerbocker hotel|-73.9860411 40.7553091
herald square building|-73.9873329 40.7510162
broadway|-73.9866687 40.7529585
